exercise_slug,exercise_name,archetype,reminder_number,type,original_path,original_name,new_name,size_mb,target_path,cloudflare_url
intuitive-movement,Intuitive Movement,intellectual,2,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/STRIPPER PORN- MIX/MSU-100927-BathroomHunkStrip-1.mp4,MSU-100927-BathroomHunkStrip-1.mp4,intuitive-movement_reminder_intellectual_2.mp4,19.34,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/intuitive-movement_reminder_intellectual_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/intuitive-movement_reminder_intellectual_2.mp4
intuitive-movement,Intuitive Movement,intellectual,3,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-PUBLIC VOVEUR/msu-200720-casacupulaparty-gogodancershowsbulge.mp4",msu-200720-casacupulaparty-gogodancershowsbulge.mp4,intuitive-movement_reminder_intellectual_3.mp4,20.67,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/intuitive-movement_reminder_intellectual_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/intuitive-movement_reminder_intellectual_3.mp4
body-gratitude,Body Gratitude,bro,1,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/SUPERMARTXE/MSU-141010-SuperMartXe-PrivilegeIbiza-HardGoGoDancer.mp4",MSU-141010-SuperMartXe-PrivilegeIbiza-HardGoGoDancer.mp4,body-gratitude_reminder_bro_1.mp4,19.33,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/body-gratitude_reminder_bro_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/body-gratitude_reminder_bro_1.mp4
body-gratitude,Body Gratitude,bro,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/PORN IDOL/MSU-150213-StripIdolsContest.mp4",MSU-150213-StripIdolsContest.mp4,body-gratitude_reminder_bro_2.mp4,20.74,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/body-gratitude_reminder_bro_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/body-gratitude_reminder_bro_2.mp4
body-gratitude,Body Gratitude,bro,3,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/MATINEE PERVERT CIRCUIT PARTY & MILK BATH/MSU-180621-MatineeLaLecheGoGoDancers-3.mp4",MSU-180621-MatineeLaLecheGoGoDancers-3.mp4,body-gratitude_reminder_bro_3.mp4,19.25,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/body-gratitude_reminder_bro_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/body-gratitude_reminder_bro_3.mp4
body-gratitude,Body Gratitude,sergeant,1,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/MSU-180821-HotStripperShowsHardCockOnStage.mp4",MSU-180821-HotStripperShowsHardCockOnStage.mp4,body-gratitude_reminder_sergeant_1.mp4,19.22,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/body-gratitude_reminder_sergeant_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/body-gratitude_reminder_sergeant_1.mp4
body-gratitude,Body Gratitude,sergeant,2,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/LATIN-RAIDD BAR/msu-210430-raiddbarparis-showerstripperflashingcock.mp4",msu-210430-raiddbarparis-showerstripperflashingcock.mp4,body-gratitude_reminder_sergeant_2.mp4,20.81,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/body-gratitude_reminder_sergeant_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/body-gratitude_reminder_sergeant_2.mp4
body-gratitude,Body Gratitude,sergeant,3,reminder,"/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- LATIN & WHITE STRIPPER- COCK, SEE THRU, SUPER EROTIC/0-LATIN CLUB STRIPPERS/msu-230514-festanudesbrasilia-hotlivesexshows-7.mp4",msu-230514-festanudesbrasilia-hotlivesexshows-7.mp4,body-gratitude_reminder_sergeant_3.mp4,20.86,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/body-gratitude_reminder_sergeant_3.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/body-gratitude_reminder_sergeant_3.mp4
body-gratitude,Body Gratitude,intellectual,1,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- NON LATIN STRIPPER- BULGE & HALF NAKED/MSU-160915-WEPartyLaLeche-SexyGoGoDancers.mp4,MSU-160915-WEPartyLaLeche-SexyGoGoDancers.mp4,body-gratitude_reminder_intellectual_1.mp4,20.86,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/body-gratitude_reminder_intellectual_1.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/body-gratitude_reminder_intellectual_1.mp4
body-gratitude,Body Gratitude,intellectual,2,reminder,/Volumes/Z9/материалы для ai fitnes/exercises/GAY BAR- NON LATIN STRIPPER- BULGE & HALF NAKED/msu-210331-hotgogodancersonbartop.mp4,msu-210331-hotgogodancersonbartop.mp4,body-gratitude_reminder_intellectual_2.mp4,19.12,/Volumes/Z9/AI_FITNESS_COACH_VIDEOS/reminders/body-gratitude_reminder_intellectual_2.mp4,https://ai-fitness-media.r2.cloudflarestorage.com/videos/reminders/body-gratitude_reminder_intellectual_2.mp4
